"Country","F_statistic","numerator_df","denominator_df","p_value","Significant"
"NOR",190.847445783581,7,675.122394528854,2.21045234489984e-155,"*"
"SWE",290.320969871582,7,945.497158680694,1.65628438721684e-230,"*"
"DNK",208.066956024671,7,807.259254586142,5.90050889827827e-176,"*"
"FIN",331.824771790969,7,1191.4072540501,1.35066732429968e-274,"*"
"CHE",301.299501621164,7,1072.96999934404,3.75104856043717e-248,"*"
