"Country","Variable","Pooled_Count","Pooled_Percentage","Pooled_SE","Min_Z","Max_Z"
"NOR","ANXMAT",0,0,0,Inf,-Inf
"NOR","MATHPERS",9.32,0.140977159279988,0.0489860458360929,3.00017949772546,3.20119220696033
"NOR","MATHEFF",0,0,0,Inf,-Inf
"NOR","DISCLIM",0,0,0,Inf,-Inf
"NOR","GROSAGR",299.47,4.52987445167146,0.298540691398735,3.23990940530064,3.41856069123404
"NOR","RELATST",33.69,0.509605203448797,0.0882823274834149,3.00034015094907,5.95917296015389
"NOR","ESCS",70.11,1.0605052185751,0.128837491581981,3.00088457876657,8.47854763592346
"SWE","ANXMAT",0,0,0,Inf,-Inf
"SWE","MATHPERS",28.67,0.472167325428195,0.0939374912059387,3.000016982135,3.36395219806047
"SWE","MATHEFF",0,0,0,Inf,-Inf
"SWE","DISCLIM",0,0,0,Inf,-Inf
"SWE","GROSAGR",128.01,2.10820158102767,0.20832041726196,3.000265219086,4.1562115426966
"SWE","RELATST",22.01,0.362483530961792,0.0771417831981074,3.21018316581368,4.79340466464069
"SWE","ESCS",53.52,0.881422924901186,0.123148503015095,3.00068509289394,6.6011558155464
"DNK","ANXMAT",0,0,0,Inf,-Inf
"DNK","MATHPERS",58.29,0.940161290322581,0.12554119207954,3.0002306671986,3.67760555796502
"DNK","MATHEFF",0,0,0,Inf,-Inf
"DNK","DISCLIM",79.29,1.27887096774194,0.150981504865898,3.00001099204869,3.13546196840072
"DNK","GROSAGR",130.87,2.1108064516129,0.225214904633676,4.03106956404756,4.29271439373666
"DNK","RELATST",10.04,0.161935483870968,0.0511646645997232,3.08691558782862,10.3367575917609
"DNK","ESCS",49.09,0.791774193548387,0.114778587823803,3.00012057462275,7.92606768439014
"FIN","ANXMAT",0,0,0,Inf,-Inf
"FIN","MATHPERS",58.73,0.573591171012794,0.0818908792005789,3.00004586544932,3.3190600685877
"FIN","MATHEFF",0,0,0,Inf,-Inf
"FIN","DISCLIM",0,0,0,Inf,-Inf
"FIN","GROSAGR",380.16,3.71286258423674,0.210745946015802,3.26703283180149,3.65940048768581
"FIN","RELATST",118.83,1.16056255493701,0.121068446294413,3.00009017177326,4.88810827840099
"FIN","ESCS",69.75,0.681218869030179,0.0844170639953723,3.00000763378248,8.18933605970245
"CHE","ANXMAT",0,0,0,Inf,-Inf
"CHE","MATHPERS",60.56,0.886806267389076,0.182810513023047,3.00003740889225,3.47494124769336
"CHE","MATHEFF",107.64,1.57621906574901,0.152031036735622,3.0006211542759,3.23178149726467
"CHE","DISCLIM",0,0,0,Inf,-Inf
"CHE","GROSAGR",265.34,3.88548835847123,0.273842480684049,3.14686757277818,3.48603634487359
"CHE","RELATST",19.12,0.279982427881095,0.0641211564660403,3.21373883859536,5.99516521312285
"CHE","ESCS",57.43,0.840972323912725,0.114092954452371,3.00002888995622,4.54458739300538
